date,www_sessions,app_sessions,www_screenPageViews,app_screenPageViews,www_organic_sessions,www_direct_sessions,www_cross_network_sessions,www_referral_sessions,www_paid_search_sessions,gsc_www_clicks
20260220,5576,3418,6366,17976,1863,639,2510,202,91,1553
20260221,4180,2034,4907,11215,1358,363,2128,115,49,1153
20260222,4489,1708,5415,8690,1446,307,2188,253,58,1416
20260223,5203,2755,6184,14721,1923,457,2155,311,60,1836
20260224,5736,2804,6868,14128,2011,469,2517,313,103,1937
20260225,5607,2801,6669,14632,2156,446,2264,448,69,1988
20260226,5169,3108,6237,15141,1900,458,2024,263,75,1866
20260227,5426,2843,6567,15121,2082,444,2217,313,71,1875
20260228,4259,2207,4936,13420,1675,259,1922,152,51,1436
20260301,3976,1967,4843,10547,1567,309,1718,184,59,1344
20260302,4909,3004,5653,14601,1974,318,1988,216,84,1695
20260303,5529,2955,6501,14067,2093,338,2410,169,82,1594
20260304,6045,2969,7207,14799,2237,361,2863,197,89,1630
20260305,5235,3211,6155,16589,1825,344,2484,156,111,1462
20260306,5207,2701,5948,13120,1549,320,2893,144,124,1342
20260307,4675,1783,5496,8847,1425,302,2416,125,141,1077
20260308,4195,1471,5130,7493,1353,187,2270,95,170,1087
20260309,5022,2360,5989,11606,1588,350,2450,209,233,1408
20260310,5764,2729,6812,13475,1942,338,2922,162,284,1643
