page,ga_google_organic_sessions_feb,ga_google_organic_sessions_mar,ga_delta_pct,gsc_clicks_feb,gsc_clicks_mar,gsc_delta_pct,ga_minus_gsc_delta_pct
/epargne/fiscalite-cto,3,47,1466.7,2,64,3100.0,-1633.3
/gestion-de-patrimoine/meilleurs-robo-advisors,9,15,66.7,2,19,850.0,-783.3
/gestion-de-patrimoine/alternatives-family-office,3,4,33.3,1,6,500.0,-466.7
/academy/analyses,6,6,0.0,2,7,250.0,-250.0
/epargne/per-pea-assurance-vie,19,18,-5.3,3,9,200.0,-205.3
/gestion-de-patrimoine/sci,56,58,3.6,1,3,200.0,-196.4
/epargne/livret-a-perte-pouvoir-achat,3,1,-66.7,1,2,100.0,-166.7
/private-equity/rpei-performances,18,13,-27.8,6,14,133.3,-161.1
/gestion-de-patrimoine/contrat-capitalisation-personne-morale,4,23,475.0,3,22,633.3,-158.3
/avis/fpci-adelie-remploi-1,5,6,20.0,3,8,166.7,-146.7
/gestion-de-patrimoine/placement-tresorerie-holding,10,8,-20.0,4,9,125.0,-145.0
/avis/scpi-corum-eurion,7,9,28.6,3,8,166.7,-138.1
/avis/scpi-coeur-de-regions,6,4,-33.3,2,4,100.0,-133.3
/crypto/solana,10,2,-80.0,2,3,50.0,-130.0
/academy/webinars-podcasts,31,31,0.0,7,15,114.3,-114.3
/epargne/ldds,68,98,44.1,26,67,157.7,-113.6
/gestion-de-patrimoine/crowdfunding-immobilier,27,20,-25.9,8,15,87.5,-113.4
/produits/personne-morale,45,32,-28.9,6,11,83.3,-112.2
/gestion-de-patrimoine/combiner-achat-residence-principale-et-investissement-locatif,21,21,0.0,19,40,110.5,-110.5
/scpi/frais,45,15,-66.7,7,10,42.9,-109.5
/scpi/rscpi-t2-2025,3,0,-100.0,2,2,0.0,-100.0
/avis/fia-multi-bl4,3,1,-66.7,3,4,33.3,-100.0
/epargne/combien-avoir-de-cote-a-60-ans,111,129,16.2,111,235,111.7,-95.5
/finance-quantitative/calcul-performances-methodologie-ramify,19,9,-52.6,12,16,33.3,-86.0
/bourse/quand-investir,98,116,18.4,81,165,103.7,-85.3
/gestion-de-patrimoine/bspce,69,37,-46.4,11,15,36.4,-82.7
/gestion-de-patrimoine/scpi-ou-investissement-locatif,7,5,-28.6,2,3,50.0,-78.6
/avis/matis,11,11,0.0,4,7,75.0,-75.0
/assurance-vie/fiscalite,981,732,-25.4,13,19,46.2,-71.5
/private-equity/rpei-methodologie,3,1,-66.7,2,2,0.0,-66.7
/gestion-de-patrimoine/meilleures-plateformes,36,20,-44.4,18,22,22.2,-66.7
/gestion-de-patrimoine/placement-luxembourg,12,10,-16.7,6,9,50.0,-66.7
/scpi/nue-propriete,27,23,-14.8,4,6,50.0,-64.8
/avis/fcpr-peqan-convictions-2023,14,9,-35.7,14,18,28.6,-64.3
/private-equity/fonds-de-fonds,21,3,-85.7,9,7,-22.2,-63.5
/bourse/ou-va-mon-argent-quand-jinvestis-en-bourse,21,22,4.8,22,37,68.2,-63.4
/avis/scpi-upeka,8,3,-62.5,3,3,0.0,-62.5
/private-equity/venture-capital,55,27,-50.9,36,40,11.1,-62.0
/avis/fpci-altaroc-odyssey-2025,63,42,-33.3,49,63,28.6,-61.9
/portefeuilles/essential,93,59,-36.6,16,20,25.0,-61.6
/private-equity/assurance-vie-ou-direct,18,13,-27.8,18,24,33.3,-61.1
/gestion-de-patrimoine/fonds-investissement-alternatif,45,30,-33.3,44,56,27.3,-60.6
/scpi/ou-crowdfunding-immobilier,5,2,-60.0,2,2,0.0,-60.0
/epargne/combien-avoir-de-cote-a-50-ans,970,483,-50.2,1200,1312,9.3,-59.5
/scpi/scpi-credit-vs-versements-programmes,4,3,-25.0,3,4,33.3,-58.3
/avis/fcpr-multi-strategies-2,18,10,-44.4,15,17,13.3,-57.8
/produits/assurance-vie-mineur,47,39,-17.0,10,14,40.0,-57.0
/private-equity/fcpr-private-value-3,42,20,-52.4,23,24,4.3,-56.7
/epargne/livret-a-plafond,1944,1268,-34.8,1868,2276,21.8,-56.6
/gestion-de-patrimoine/fiscalite-expatrie,75,48,-36.0,50,60,20.0,-56.0
/per/private-equity,27,10,-63.0,13,12,-7.7,-55.3
/avis/scpi-lf-opportunite-immo,8,2,-75.0,5,4,-20.0,-55.0
/assurance-vie/luxembourgeoise,42,32,-23.8,20,26,30.0,-53.8
/bourse/etf-ou-opcvm,237,131,-44.7,188,204,8.5,-53.2
/scpi/pleine-propriete,14,4,-71.4,10,8,-20.0,-51.4
/avis/fpci-quaero-infrastructure-private-investors,5,5,0.0,2,3,50.0,-50.0
/avis/scpi-corum-xl,2,1,-50.0,3,3,0.0,-50.0
/private-equity/fpci,36,36,0.0,34,51,50.0,-50.0
/epargne/assurance-vie-ou-per,66,33,-50.0,1,1,0.0,-50.0
/avis/fcpr-123-corporate-2024,6,3,-50.0,5,5,0.0,-50.0
/private-equity/performance-vs-fiscal,6,3,-50.0,5,5,0.0,-50.0
/avis/fcpi-dividendes-plus-n12,4,2,-50.0,4,4,0.0,-50.0
/avis/scpi-paref-hexa,8,0,-100.0,2,1,-50.0,-50.0
/avis/fcpr-entrepreneurs-selection-secondaire-2,23,14,-39.1,19,21,10.5,-49.7
/avis/scpi-vendome-regions,54,26,-51.9,45,44,-2.2,-49.6
/avis/fcpi-eurazeo-ambition-europe-2025,17,15,-11.8,16,22,37.5,-49.3
/epargne/taux-livret-a,140,169,20.7,91,153,68.1,-47.4
/assurance-vie/perte-argent,978,599,-38.8,1140,1237,8.5,-47.3
/produits/assurance-vie-luxembourgeoise,219,130,-40.6,77,82,6.5,-47.1
/avis/fps-keys-selection,17,31,82.4,14,32,128.6,-46.2
/epargne/interessement-participation,337,324,-3.9,272,387,42.3,-46.1
/gestion-de-patrimoine/placement-court-terme,149,125,-16.1,107,139,29.9,-46.0
/gestion-de-patrimoine/plateforme,24,16,-33.3,16,18,12.5,-45.8
/bourse/etf-sp-500,663,394,-40.6,434,451,3.9,-44.5
/avis/scpi-sofidynamic,21,9,-57.1,7,6,-14.3,-42.9
/crypto/stablecoins,42,12,-71.4,38,27,-28.9,-42.5
/epargne/enveloppe-fiscale,29,15,-48.3,17,16,-5.9,-42.4
/epargne/combien-rapportent-50000-euros-places,134,87,-35.1,114,122,7.0,-42.1
/per/perte-capital,177,152,-14.1,227,290,27.8,-41.9
/assurance-vie/choisir,19,9,-52.6,9,8,-11.1,-41.5
/epargne/plafond-cel-atteint,272,184,-32.4,230,251,9.1,-41.5
/a-propos/team,181,104,-42.5,82,81,-1.2,-41.3
/epargne/assurance-vie-ou-livret-a,130,70,-46.2,59,56,-5.1,-41.1
/defiscalisation/niche-fiscale,52,25,-51.9,36,32,-11.1,-40.8
/gestion-de-patrimoine/donation-100000-euros,865,533,-38.4,611,624,2.1,-40.5
/avis,96,39,-59.4,120,97,-19.2,-40.2
/gestion-de-patrimoine/club-deal-immobilier,48,23,-52.1,39,34,-12.8,-39.3
/scpi/demembrement-pleine-propriete,23,14,-39.1,21,21,0.0,-39.1
/gestion-de-patrimoine/montage-holding,55,44,-20.0,21,25,19.0,-39.0
/finance-quantitative/ramify-rebalancing-tool-arbitrage-optimise-portefeuille,9,1,-88.9,6,3,-50.0,-38.9
/academy/articles,34,34,0.0,13,18,38.5,-38.5
/avis/scpi-cristal-life,30,12,-60.0,23,18,-21.7,-38.3
/gestion-de-patrimoine/investissement-vert,29,18,-37.9,29,29,0.0,-37.9
/per/transfert,68,49,-27.9,20,22,10.0,-37.9
/epargne/gestion-horizon,16,10,-37.5,14,14,0.0,-37.5
/epargne/combien-avoir-de-cote-a-30-ans,313,181,-42.2,323,308,-4.6,-37.5
/pea/jeune,55,33,-40.0,39,38,-2.6,-37.4
/per/frais,94,53,-43.6,75,70,-6.7,-37.0
/assurance-vie/ou-contrat-de-capitalisation,100,43,-57.0,10,8,-20.0,-37.0
/gestion-de-patrimoine/proprietaire-vs-locataire-3,35,24,-31.4,19,20,5.3,-36.7
/scpi/assurance-vie-ou-direct,54,26,-51.9,13,11,-15.4,-36.5
/scpi/meilleures,44,28,-36.4,7,7,0.0,-36.4
/per/gestion-pilotee,30,13,-56.7,29,23,-20.7,-36.0
/avis/fps-tikehau-private-assets,25,14,-44.0,25,23,-8.0,-36.0
/assurance-vie/enfant-mineur,67,41,-38.8,34,33,-2.9,-35.9
/pea/perte,262,139,-46.9,294,260,-11.6,-35.4
/per/fiscalite,397,257,-35.3,11,11,0.0,-35.3
/avis/fips-partners-group-secondary-viii-strategy,17,13,-23.5,18,20,11.1,-34.6
/gestion-de-patrimoine/meilleur-fonds-alternatif,134,77,-42.5,106,97,-8.5,-34.0
/pea/transfert,174,77,-55.7,156,122,-21.8,-34.0
/private-equity/meilleurs-fpci,77,55,-28.6,78,82,5.1,-33.7
/avis/fps-multifonds-archinvest-dette-privee-1,9,6,-33.3,8,8,0.0,-33.3
/epargne/comment-investir,14,8,-42.9,10,9,-10.0,-32.9
/a-propos/tarifs,131,102,-22.1,102,113,10.8,-32.9
/epargne/epargne-moyenne-des-francais,2407,1560,-35.2,2327,2269,-2.5,-32.7
/epargne/unite-de-compte,80,35,-56.2,17,13,-23.5,-32.7
/scpi/sortir-d-un-investissement-en-scpi,90,58,-35.6,29,28,-3.4,-32.1
/avis/fps-swen-exclusive-infrastructures-2,14,4,-71.4,10,6,-40.0,-31.4
/epargne/combien-avoir-de-cote-40-ans,343,148,-56.9,364,271,-25.5,-31.3
/gestion-de-patrimoine/robo-advisor,17,13,-23.5,13,14,7.7,-31.2
/gestion-de-patrimoine/meilleures-banques-privees,507,296,-41.6,474,424,-10.5,-31.1
/avis/fps-opale-strategies-credits-tactiques,21,19,-9.5,19,23,21.1,-30.6
/epargne/per-ou-pea,147,71,-51.7,123,97,-21.1,-30.6
/crypto,27,12,-55.6,8,6,-25.0,-30.6
/produits/produits-structures,85,59,-30.6,24,24,0.0,-30.6
/pea/gestion-pilotee,188,94,-50.0,132,106,-19.7,-30.3
/gestion-de-patrimoine/pret-immobilier-sans-apport,5,1,-80.0,2,1,-50.0,-30.0
/crypto/defi,5,6,20.0,2,3,50.0,-30.0
/outils/calculatrice-interet-compose,1510,761,-49.6,786,631,-19.7,-29.9
/epargne/placement-rentable,90,31,-65.6,56,36,-35.7,-29.8
/private-equity/marche,82,42,-48.8,68,55,-19.1,-29.7
/pea/choisir,37,8,-78.4,16,8,-50.0,-28.4
/epargne/plafond-atteint-pel,557,295,-47.0,470,382,-18.7,-28.3
/gestion-de-patrimoine/placement-tresorerie-entreprise,44,42,-4.5,17,21,23.5,-28.1
/gestion-de-patrimoine/placer-argent-rapporte-mensuellement,86,35,-59.3,89,61,-31.5,-27.8
/crypto/etf-ethereum,80,28,-65.0,67,42,-37.3,-27.7
/gestion-de-patrimoine/banque-privee,236,111,-53.0,242,179,-26.0,-26.9
/defiscalisation/plf-loi-finances,27,14,-48.1,23,18,-21.7,-26.4
/assurance-vie/transfert,155,64,-58.7,120,81,-32.5,-26.2
/private-equity/fcpi,56,30,-46.4,39,31,-20.5,-25.9
/pea/retrait,2052,804,-60.8,1830,1187,-35.1,-25.7
/gestion-de-patrimoine/meilleurs-fonds-monetaires,259,164,-36.7,285,253,-11.2,-25.5
/gestion-de-patrimoine/proprietaire-vs-locataire-2,6,6,0.0,4,5,25.0,-25.0
/private-equity/fonds-semi-liquide,16,23,43.8,16,27,68.8,-25.0
/epargne/retraite-independant-tns,42,25,-40.5,19,16,-15.8,-24.7
/epargne/investir-100000-euros,1306,523,-60.0,1388,896,-35.4,-24.5
/wealth-tour,107,55,-48.6,33,25,-24.2,-24.4
/crypto/ethereum,31,9,-71.0,15,8,-46.7,-24.3
/avis/fcpr-eurazeo-entrepreneurs-club-3,20,12,-40.0,19,16,-15.8,-24.2
/gestion-de-patrimoine/meilleurs-cabinets,632,427,-32.4,570,522,-8.4,-24.0
/private-equity/fip,17,3,-82.4,12,5,-58.3,-24.0
/bourse/sp-500,543,361,-33.5,538,487,-9.5,-24.0
/avis/scpi-edmond-de-rothschild-europa,23,6,-73.9,6,3,-50.0,-23.9
/private-equity/apport-cession-150-0-b-ter,270,191,-29.3,205,194,-5.4,-23.9
/scpi/fiscalite,66,24,-63.6,25,15,-40.0,-23.6
/epargne/diversifier,79,42,-46.8,60,46,-23.3,-23.5
/gestion-de-patrimoine/taux-marginal-imposition,470,347,-26.2,147,142,-3.4,-22.8
/epargne/combien-rapportent-500-000-euros-places,226,125,-44.7,203,158,-22.2,-22.5
/private-equity/guide-private-debt,89,83,-6.7,90,104,15.6,-22.3
/private-equity/fonds-evergreen,70,32,-54.3,43,29,-32.6,-21.7
/gestion-de-patrimoine/fonds-monetaire,114,58,-49.1,91,66,-27.5,-21.7
/assurance-vie/luxembourg-fiscalite,29,15,-48.3,15,11,-26.7,-21.6
/private-equity/fiscalite,98,74,-24.5,102,99,-2.9,-21.5
/gestion-de-patrimoine/family-office,213,137,-35.7,154,132,-14.3,-21.4
/assurance-vie/etf,263,105,-60.1,227,138,-39.2,-20.9
/gestion-de-patrimoine/credit-lombard,255,107,-58.0,242,152,-37.2,-20.8
/produits/assurance-vie,1594,1023,-35.8,766,648,-15.4,-20.4
/pea/succession,679,293,-56.8,592,376,-36.5,-20.4
/offres/ramify-black,219,125,-42.9,53,41,-22.6,-20.3
/produits/per,494,308,-37.7,154,127,-17.5,-20.1
/bourse/etf-pea-assurance-vie,139,68,-51.1,139,96,-30.9,-20.1
/private-equity/multifonds-archinvest-lbo1,10,4,-60.0,5,3,-40.0,-20.0
/newsletter,29,17,-41.4,14,11,-21.4,-20.0
/crypto/fiscalite,216,98,-54.6,169,110,-34.9,-19.7
/private-equity/meilleurs-fcpr,140,58,-58.6,128,78,-39.1,-19.5
/livre-blanc,54,44,-18.5,8,8,0.0,-18.5
/epargne/taux-ldds,94,44,-53.2,98,64,-34.7,-18.5
/assurance-vie/gestion-libre-ou-pilotee,43,18,-58.1,40,24,-40.0,-18.1
/outils/simulateur-droit-succession,1287,565,-56.1,927,575,-38.0,-18.1
/epargne/combien-rapportent-1-million-euros-places,537,246,-54.2,479,305,-36.3,-17.9
/assurance-vie/meilleures-luxembourgeoises,117,91,-22.2,45,43,-4.4,-17.8
/avis/scpi-primopierre,191,105,-45.0,186,135,-27.4,-17.6
/epargne/compte-a-terme,1429,685,-52.1,1235,807,-34.7,-17.4
/private-equity/fcpr,36,28,-22.2,20,19,-5.0,-17.2
/avis/scpi-epargne-pierre,27,14,-48.1,16,11,-31.2,-16.9
/gestion-de-patrimoine/flat-tax,1743,817,-53.1,1287,820,-36.3,-16.8
/produits-structures/meilleurs,440,148,-66.4,417,210,-49.6,-16.7
/gestion-de-patrimoine/investir-art,70,45,-35.7,47,38,-19.1,-16.6
/private-equity/meilleurs-fonds,349,145,-58.5,288,167,-42.0,-16.4
/portefeuilles/flagship,101,74,-26.7,19,17,-10.5,-16.2
/pea/plafond,332,174,-47.6,305,209,-31.5,-16.1
/pea/fiscalite,97,41,-57.7,72,42,-41.7,-16.1
/pea/etf,4058,1910,-52.9,3092,1947,-37.0,-15.9
